id,value
id_0,28
id_1,62
id_2,20
id_3,28
id_4,11
id_5,34
id_6,41
id_7,15
id_8,48
id_9,34
id_10,39
id_11,59
id_12,36
id_13,39
id_14,24
id_15,13
id_16,50
id_17,24
id_18,18
id_19,20
id_20,15
id_21,25
id_22,38
id_23,15
id_24,60
id_25,44
id_26,28
id_27,10
id_28,30
id_29,36
id_30,19
id_31,13
id_32,17
id_33,8
id_34,18
id_35,36
id_36,20
id_37,27
id_38,7
id_39,61
id_40,46
id_41,17
id_42,50
id_43,19
id_44,44
id_45,50
id_46,61
id_47,40
id_48,51
id_49,42
id_50,30
id_51,24
id_52,41
id_53,27
id_54,37
id_55,39
id_56,25
id_57,22
id_58,35
id_59,30
id_60,14
id_61,22
id_62,31
id_63,55
id_64,50
id_65,26
id_66,40
id_67,54
id_68,28
id_69,37
id_70,65
id_71,52
id_72,46
id_73,12
id_74,13
id_75,37
id_76,60
id_77,4
id_78,46
id_79,40
id_80,8
id_81,21
id_82,9
id_83,33
id_84,11
id_85,6
id_86,17
id_87,12
id_88,12
id_89,26
id_90,30
id_91,12
id_92,13
id_93,9
id_94,35
id_95,16
id_96,16
id_97,9
id_98,11
id_99,5
id_100,14
id_101,19
id_102,11
id_103,6
id_104,15
id_105,37
id_106,26
id_107,9
id_108,15
id_109,17
id_110,14
id_111,17
id_112,14
id_113,27
id_114,22
id_115,15
id_116,11
id_117,44
id_118,31
id_119,2
id_120,4
id_121,11
id_122,17
id_123,15
id_124,7
id_125,27
id_126,23
id_127,13
id_128,19
id_129,16
id_130,5
id_131,36
id_132,15
id_133,28
id_134,24
id_135,22
id_136,11
id_137,20
id_138,79
id_139,63
id_140,28
id_141,18
id_142,26
id_143,9
id_144,13
id_145,10
id_146,23
id_147,8
id_148,14
id_149,18
id_150,52
id_151,20
id_152,24
id_153,16
id_154,14
id_155,26
id_156,20
id_157,34
id_158,3
id_159,18
id_160,44
id_161,19
id_162,56
id_163,20
id_164,38
id_165,26
id_166,21
id_167,3
id_168,68
id_169,17
id_170,18
id_171,71
id_172,21
id_173,4
id_174,23
id_175,3
id_176,8
id_177,21
id_178,21
id_179,20
id_180,42
id_181,27
id_182,28
id_183,13
id_184,9
id_185,42
id_186,38
id_187,33
id_188,15
id_189,23
id_190,15
id_191,14
id_192,33
id_193,80
id_194,30
id_195,13
id_196,60
id_197,18
id_198,19
id_199,23
id_200,142
id_201,28
id_202,60
id_203,6
id_204,61
id_205,35
id_206,18
id_207,15
id_208,64
id_209,13
id_210,31
id_211,76
id_212,20
id_213,112
id_214,39
id_215,90
id_216,99
id_217,73
id_218,28
id_219,22
id_220,31
id_221,53
id_222,29
id_223,41
id_224,44
id_225,8
id_226,4
id_227,72
id_228,27
id_229,3
id_230,38
id_231,15
id_232,22
id_233,8
id_234,12
id_235,22
id_236,14
id_237,1
id_238,22
id_239,3
