id,value
id_0,27
id_1,62
id_2,20
id_3,30
id_4,11
id_5,34
id_6,41
id_7,16
id_8,49
id_9,34
id_10,39
id_11,59
id_12,37
id_13,39
id_14,25
id_15,13
id_16,51
id_17,24
id_18,18
id_19,19
id_20,15
id_21,26
id_22,38
id_23,15
id_24,60
id_25,45
id_26,28
id_27,10
id_28,29
id_29,36
id_30,18
id_31,13
id_32,17
id_33,8
id_34,19
id_35,37
id_36,20
id_37,28
id_38,7
id_39,60
id_40,46
id_41,18
id_42,50
id_43,19
id_44,44
id_45,51
id_46,61
id_47,40
id_48,51
id_49,42
id_50,31
id_51,24
id_52,41
id_53,27
id_54,37
id_55,39
id_56,26
id_57,22
id_58,36
id_59,32
id_60,15
id_61,23
id_62,31
id_63,55
id_64,50
id_65,27
id_66,41
id_67,53
id_68,28
id_69,38
id_70,65
id_71,53
id_72,45
id_73,12
id_74,13
id_75,38
id_76,61
id_77,5
id_78,46
id_79,40
id_80,9
id_81,21
id_82,9
id_83,33
id_84,11
id_85,6
id_86,17
id_87,12
id_88,14
id_89,26
id_90,30
id_91,12
id_92,14
id_93,10
id_94,35
id_95,16
id_96,15
id_97,9
id_98,11
id_99,5
id_100,14
id_101,19
id_102,11
id_103,6
id_104,15
id_105,36
id_106,26
id_107,10
id_108,16
id_109,17
id_110,14
id_111,16
id_112,14
id_113,27
id_114,23
id_115,15
id_116,12
id_117,43
id_118,31
id_119,3
id_120,4
id_121,12
id_122,16
id_123,15
id_124,7
id_125,27
id_126,23
id_127,13
id_128,19
id_129,17
id_130,5
id_131,36
id_132,16
id_133,28
id_134,24
id_135,22
id_136,11
id_137,20
id_138,79
id_139,62
id_140,28
id_141,17
id_142,25
id_143,9
id_144,14
id_145,10
id_146,22
id_147,8
id_148,14
id_149,18
id_150,51
id_151,20
id_152,24
id_153,16
id_154,15
id_155,27
id_156,19
id_157,34
id_158,4
id_159,18
id_160,44
id_161,19
id_162,56
id_163,20
id_164,38
id_165,26
id_166,21
id_167,3
id_168,68
id_169,18
id_170,18
id_171,71
id_172,21
id_173,4
id_174,24
id_175,3
id_176,8
id_177,22
id_178,21
id_179,20
id_180,43
id_181,27
id_182,28
id_183,13
id_184,9
id_185,41
id_186,37
id_187,32
id_188,15
id_189,23
id_190,15
id_191,15
id_192,33
id_193,80
id_194,29
id_195,13
id_196,61
id_197,18
id_198,20
id_199,24
id_200,142
id_201,28
id_202,59
id_203,7
id_204,62
id_205,34
id_206,18
id_207,16
id_208,64
id_209,16
id_210,31
id_211,75
id_212,21
id_213,115
id_214,39
id_215,90
id_216,99
id_217,74
id_218,28
id_219,22
id_220,31
id_221,55
id_222,29
id_223,40
id_224,45
id_225,8
id_226,5
id_227,72
id_228,27
id_229,3
id_230,38
id_231,15
id_232,22
id_233,8
id_234,13
id_235,22
id_236,14
id_237,2
id_238,22
id_239,3
